,Title,Published_date,Views,Likes,Dislikes,Comments,Month
250,Golf STATS: Strokes Gained Explained,2019-06-07 03:10:34+00:00,7025,147,0,28,Jun
251,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25 18:34:33+00:00,607,44,0,5,May
252,What I Learned From My Three Degrees,2019-05-17 03:10:29+00:00,1236,60,0,12,May
253,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14 00:21:28+00:00,25571,1067,0,68,May
254,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05 20:26:36+00:00,1227,40,0,2,May
255,Should You Learn R for Data Science?,2019-04-25 15:00:01+00:00,20237,543,0,69,Apr
256,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18 15:00:14+00:00,46201,853,0,336,Apr
257,Work From Home Data Scientist: Day in the Life,2019-04-12 15:00:00+00:00,27990,761,0,103,Apr
258,Where to Look for Data Science Jobs,2019-03-29 16:00:01+00:00,2989,120,0,9,Mar
259,Data Science: Startup vs. Large Corporation,2019-03-21 17:00:01+00:00,2083,75,0,4,Mar
260,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16 14:00:04+00:00,6011,168,0,26,Mar
261,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09 21:58:10+00:00,4134,179,0,15,Mar
262,Why You DON'T Want to be a WFH Data Scientist,2019-03-03 22:14:01+00:00,793,33,0,12,Mar
263,Welcome To My Channel | Ken Jee | Data Science,2019-03-03 01:00:17+00:00,1416,35,0,8,Mar
264,Where YOU Should Start With Data Science Projects,2019-02-19 03:23:50+00:00,15871,326,0,17,Feb
265,Watch This Before Applying to Data Science Jobs,2019-02-04 23:40:34+00:00,1480,66,0,13,Feb
266,My Top 5 Data Science Resources for 2019,2019-01-05 22:07:08+00:00,3671,121,0,17,Jan
267,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18 02:01:15+00:00,825,37,0,6,Dec
268,The Best Way to Predict NBA Minutes Played,2018-12-11 02:39:35+00:00,4128,106,0,14,Dec
269,Demystifying Data Science Roles,2018-11-30 01:22:49+00:00,1124,53,0,5,Nov
270,How to Simulate NBA Games in Python,2018-11-19 23:31:49+00:00,17332,386,0,54,Nov
271,Should You Get A Masters in Data Science?,2018-11-14 01:39:33+00:00,20442,304,0,138,Nov
272,How I Became A Data Scientist From a Business Background,2018-11-12 00:26:08+00:00,6361,197,0,23,Nov
273,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10 16:39:52+00:00,8499,193,0,17,Jul
274,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18 20:04:51+00:00,18689,292,0,41,Nov
