"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2020","56,302.0","55,432.0","56,302.0","55,215.0","762.16K","1.04%"
"12/24/2020","55,722.0","56,519.0","56,519.0","55,070.0","663.24K","-1.41%"
"12/23/2020","56,519.0","56,809.0","57,171.0","56,519.0","674.19K","-0.38%"
"12/22/2020","56,736.0","56,374.0","57,026.0","55,794.0","1.28M","1.29%"
"12/21/2020","56,012.0","56,012.0","56,084.0","55,432.0","901.72K","0.00%"
"12/18/2020","56,012.0","54,925.0","56,157.0","54,925.0","776.99K","1.98%"
"12/17/2020","54,925.0","55,432.0","56,157.0","54,345.0","1.72M","-2.32%"
"12/16/2020","56,229.0","55,939.0","56,229.0","55,794.0","848.25K","0.65%"
"12/15/2020","55,867.0","56,447.0","57,244.0","55,215.0","1.16M","-0.64%"
"12/14/2020","56,229.0","56,157.0","56,519.0","56,157.0","710.95K","0.26%"
"12/11/2020","56,084.0","55,070.0","56,519.0","55,070.0","1.45M","6.03%"
"12/10/2020","52,896.0","56,881.0","57,099.0","52,896.0","1.29M","-6.89%"
"12/09/2020","56,809.0","56,881.0","57,171.0","56,519.0","755.24K","-0.13%"
"12/08/2020","56,881.0","56,736.0","57,026.0","56,519.0","970.59K","0.77%"
"12/07/2020","56,447.0","56,231.0","57,166.0","55,943.0","792.73K","0.00%"
"12/04/2020","56,447.0","55,728.0","56,447.0","55,656.0","1.21M","1.29%"
"12/03/2020","55,728.0","55,368.0","55,728.0","54,649.0","1.26M","0.65%"
"12/02/2020","55,368.0","56,087.0","56,087.0","55,080.0","1.34M","-1.28%"
"12/01/2020","56,087.1","55,368.0","56,087.1","55,080.4","1.19M","0.13%"
"11/30/2020","56,015.2","57,381.4","57,381.4","56,015.2","1.59M","-1.14%"
"11/27/2020","56,662.3","54,792.8","56,734.2","54,649.0","1.67M","3.41%"
"11/26/2020","54,792.8","54,577.0","55,008.5","53,929.9","1.09M","0.00%"
"11/25/2020","54,792.8","55,727.6","55,727.6","54,577.0","1.46M","0.40%"
"11/24/2020","54,577.0","55,368.0","55,439.9","53,210.8","1.50M","-1.04%"
"11/23/2020","55,152.3","53,210.8","55,224.2","52,779.4","2.61M","4.21%"
"11/20/2020","52,923.2","53,210.8","53,282.7","52,779.4","861.95K","-0.54%"
"11/19/2020","53,210.8","53,570.4","53,570.4","52,851.3","1.76M","0.68%"
"11/18/2020","52,851.3","52,995.1","53,210.8","52,563.7","1.04M","-0.68%"
"11/17/2020","53,210.8","52,491.8","53,210.8","52,060.3","1.18M","2.64%"
"11/16/2020","51,844.6","53,138.9","53,282.7","51,844.6","1.88M","-2.30%"
"11/13/2020","53,067.0","52,851.3","53,570.4","52,851.3","841.57K","0.27%"
"11/12/2020","52,923.2","51,700.8","52,923.2","51,413.2","1.19M","2.36%"
"11/11/2020","51,700.8","52,491.8","52,563.7","51,485.1","2.28M","-1.51%"
"11/10/2020","52,491.8","53,067.0","53,210.8","52,491.8","1.49M","-1.35%"
"11/09/2020","53,210.8","53,570.4","53,858.0","52,491.8","2.01M","0.95%"
"11/06/2020","52,707.5","52,851.3","53,929.9","52,563.7","2.22M","0.96%"
"11/05/2020","52,204.1","52,491.8","52,779.4","51,700.8","1.73M","1.26%"
"11/04/2020","51,557.0","51,053.6","51,916.5","50,766.0","1.26M","0.99%"
"11/03/2020","51,053.6","52,347.9","52,347.9","50,766.0","1.42M","-0.70%"
"11/02/2020","51,413.2","50,262.7","51,988.4","49,975.0","2.09M","2.88%"
"10/30/2020","49,975.0","48,536.9","49,975.0","47,889.7","1.52M","4.04%"
"10/29/2020","48,033.6","47,458.3","49,040.2","47,026.9","2.15M","1.21%"
"10/28/2020","47,458.3","49,687.4","50,190.7","47,458.3","1.91M","-4.90%"
"10/27/2020","49,903.1","49,975.0","50,334.6","49,399.8","1.44M","0.58%"
"10/26/2020","49,615.5","49,399.8","51,053.6","48,968.3","2.40M","1.47%"
"10/23/2020","48,896.4","49,256.0","49,471.7","48,680.7","1.37M","-0.29%"
"10/22/2020","49,040.2","48,321.2","49,040.2","47,745.9","1.12M","1.79%"
"10/21/2020","48,177.4","48,177.4","49,184.1","47,961.6","1.16M","0.00%"
"10/20/2020","48,177.4","48,393.1","48,465.0","47,674.0","1.33M","-0.74%"
"10/19/2020","48,536.9","49,471.7","49,831.2","48,321.2","1.13M","-0.88%"
"10/16/2020","48,968.3","46,739.2","49,471.7","46,020.2","2.41M","4.77%"
"10/15/2020","46,739.2","45,444.9","46,811.1","45,444.9","2.54M","3.34%"
"10/14/2020","45,229.2","44,869.7","45,660.6","44,653.9","885.28K","0.64%"
"10/13/2020","44,941.6","44,582.0","45,013.5","44,582.0","729.72K","0.81%"
"10/12/2020","44,582.0","45,588.7","45,876.4","44,438.2","736.55K","-1.90%"
"10/09/2020","45,444.9","45,301.1","46,092.1","44,725.9","1.10M","0.64%"
"10/08/2020","45,157.3","44,006.8","45,373.0","43,934.9","2.02M","2.78%"
"10/07/2020","43,934.9","43,791.1","44,150.6","43,647.3","860.65K","0.00%"
"10/06/2020","43,934.9","44,438.2","44,438.2","43,791.1","619.92K","-0.16%"
"10/05/2020","44,006.8","43,863.0","44,222.5","43,719.2","639.48K","0.33%"
"10/02/2020","43,863.0","44,438.2","44,582.0","41,274.3","1.34M","-1.13%"
"10/01/2020","44,366.3","43,934.9","44,366.3","43,934.9","651.09K","1.31%"
"09/30/2020","43,791.1","43,863.0","44,078.7","43,575.3","611.29K","0.16%"
"09/29/2020","43,719.2","44,941.6","45,013.5","43,719.2","1.33M","-1.94%"
"09/28/2020","44,582.0","44,582.0","44,653.9","44,294.4","846.92K","0.00%"
"09/25/2020","44,582.0","44,941.6","45,157.3","44,366.3","747.19K","-0.48%"
"09/24/2020","44,797.8","45,157.3","45,516.8","44,725.9","792.63K","-1.73%"
"09/23/2020","45,588.7","43,719.2","45,588.7","43,647.3","2.78M","4.10%"
"09/22/2020","43,791.1","43,863.0","43,934.9","43,431.5","793.24K","-0.16%"
"09/21/2020","43,863.0","43,431.5","44,294.4","43,431.5","1.21M","0.99%"
"09/18/2020","43,431.5","43,000.1","43,431.5","43,000.1","358.53K","1.00%"
"09/17/2020","43,000.1","43,791.1","43,863.0","43,000.1","524.80K","-1.48%"
"09/16/2020","43,647.3","43,719.2","43,863.0","43,287.7","846.41K","1.34%"
"09/15/2020","43,072.0","43,143.9","43,359.6","42,928.2","417.33K","-0.17%"
"09/14/2020","43,143.9","43,143.9","43,143.9","42,856.3","673.09K","0.84%"
"09/11/2020","42,784.4","42,856.3","42,856.3","42,424.8","465.89K","-0.50%"
"09/10/2020","43,000.1","42,856.3","43,143.9","42,784.4","392.91K","0.50%"
"09/09/2020","42,784.4","42,424.8","42,856.3","42,281.0","464.61K","-0.50%"
"09/08/2020","43,000.1","42,424.8","43,000.1","41,921.5","680.97K","1.53%"
"09/07/2020","42,352.9","43,647.3","43,863.0","42,352.9","1.19M","-2.81%"
"09/04/2020","43,575.3","43,215.8","43,719.2","43,143.9","969.35K","-1.30%"
"09/03/2020","44,150.6","44,078.7","44,222.5","43,359.6","926.27K","0.66%"
"09/01/2020","43,863.0","43,431.5","43,934.9","43,000.1","815.40K","1.67%"
"08/31/2020","43,143.9","43,719.2","44,294.4","43,143.9","851.31K","-1.32%"
"08/28/2020","43,719.2","42,784.4","44,438.2","42,496.8","1.63M","3.40%"
"08/27/2020","42,281.0","42,065.3","42,424.8","41,993.4","807.13K","-0.34%"
"08/26/2020","42,424.8","42,856.3","43,000.1","42,137.2","801.79K","-1.17%"
"08/25/2020","42,928.2","42,424.8","42,928.2","42,281.0","1.53M","1.88%"
"08/24/2020","42,137.2","41,705.8","42,281.0","41,274.3","1.83M","4.09%"
"08/21/2020","40,483.4","40,267.6","40,627.2","40,123.8","1.12M","1.26%"
"08/20/2020","39,980.0","40,051.9","40,411.5","39,548.6","891.59K","0.00%"
"08/19/2020","39,980.0","39,620.5","40,267.6","39,620.5","884.40K","0.54%"
"08/18/2020","39,764.3","40,195.7","40,339.6","39,548.6","558.37K","-1.07%"
"08/17/2020","40,195.7","40,555.3","40,627.2","39,836.2","404.71K","-1.06%"
"08/14/2020","40,627.2","40,267.6","41,202.4","40,123.8","775.20K","0.89%"
"08/13/2020","40,267.6","39,476.7","40,267.6","39,404.8","755.67K","2.56%"
"08/12/2020","39,261.0","39,332.9","39,548.6","39,045.2","574.85K","-0.91%"
"08/11/2020","39,620.5","39,764.3","39,908.1","39,261.0","520.27K","-0.36%"
"08/10/2020","39,764.3","40,123.8","40,267.6","39,692.4","465.03K","0.18%"
"08/07/2020","39,692.4","39,980.0","40,555.3","39,620.5","532.11K","-0.72%"
"08/06/2020","39,980.0","39,836.2","40,555.3","39,404.8","807.88K","1.27%"
"08/05/2020","39,476.7","38,470.0","39,548.6","38,182.4","558.43K","2.62%"
"08/04/2020","38,470.0","38,470.0","38,829.5","38,110.5","508.33K","1.33%"
"08/03/2020","37,966.6","37,750.9","38,110.5","37,103.8","772.35K","2.33%"
"07/31/2020","37,103.8","35,953.3","37,175.7","35,809.4","587.27K","0.19%"
"07/30/2020","37,031.9","37,031.9","37,463.3","36,888.0","451.97K","0.00%"
"07/29/2020","37,031.9","37,750.9","37,750.9","36,169.0","1.35M","-4.63%"
"07/28/2020","38,829.5","37,463.3","38,901.4","37,391.4","1.04M","3.65%"
"07/27/2020","37,463.3","37,750.9","38,829.5","37,463.3","1.29M","-6.96%"
"07/24/2020","40,267.6","42,424.8","42,424.8","39,476.7","1.23M","-5.08%"
"07/23/2020","42,424.8","42,137.2","42,784.4","42,137.2","436.47K","0.68%"
"07/22/2020","42,137.2","42,712.5","42,712.5","42,065.3","608.67K","-1.35%"
"07/21/2020","42,712.5","43,000.1","43,000.1","42,424.8","283.44K","0.00%"
"07/20/2020","42,712.5","43,359.6","43,431.5","42,712.5","471.55K","-1.66%"
"07/17/2020","43,431.5","43,359.6","43,431.5","43,143.9","411.68K","-0.17%"
"07/16/2020","43,503.4","43,503.4","43,503.4","42,928.2","453.12K","0.50%"
"07/15/2020","43,287.7","43,072.0","43,431.5","42,928.2","653.35K","1.52%"
"07/14/2020","42,640.6","42,496.8","42,712.5","42,137.2","433.85K","0.00%"
"07/13/2020","42,640.6","43,143.9","43,431.5","42,640.6","384.68K","-1.00%"
"07/10/2020","43,072.0","43,215.8","43,503.4","42,856.3","406.76K","-1.16%"
"07/09/2020","43,575.3","42,856.3","43,647.3","42,640.6","1.05M","2.36%"
"07/08/2020","42,568.7","42,712.5","42,784.4","42,424.8","371.47K","-0.34%"
"07/07/2020","42,712.5","43,143.9","43,143.9","42,712.5","500.21K","-0.17%"
"07/06/2020","42,784.4","42,496.8","43,000.1","42,281.0","545.03K","1.54%"
"07/03/2020","42,137.2","42,209.1","42,352.9","42,137.2","332.87K","-0.17%"
"07/02/2020","42,209.1","42,065.3","42,424.8","41,705.8","278.77K","0.17%"
"07/01/2020","42,137.2","41,274.3","42,568.7","41,274.3","332.65K","2.09%"
"06/30/2020","41,274.3","41,418.2","41,921.5","40,555.3","496.64K","-0.17%"
"06/29/2020","41,346.2","42,424.8","42,424.8","40,986.7","815.87K","-3.52%"
